TICKER	DATE	OPEN	HIGH	LOW	CLOSE	VOL	WAPRICE
RTSI	1997-12-25	371.31	378.92	371.31	378.92		
RTSI	1997-12-26	379.2	380.11	377.05	380.11		
RTSI	1997-12-29	379.94	389.02	379.94	389.02		
RTSI	1997-12-30	388.91	396.41	388.91	396.41		
RTSI	1997-12-31	397.08	397.08	396.26	396.86		
RTSI	1998-01-05	401.3	411.61	398.63	411.61		
RTSI	1998-01-06	421.55	421.55	410.04	410.04		
RTSI	1998-01-08	393.44	393.44	382.06	382.06		
RTSI	1998-01-09	378.24	381.64	371.54	372.46		
RTSI	1998-01-12	349.29	349.29	319.02	319.02		
RTSI	1998-01-13	338.01	341.76	333.1	341.76		
RTSI	1998-01-14	350.77	350.77	338.42	338.42		
RTSI	1998-01-15	330.93	335.79	329.89	329.89		
RTSI	1998-01-16	327.45	334.54	326.27	334.54		
RTSI	1998-01-19	343.74	343.74	338.99	339.47		
RTSI	1998-01-20	339.39	340.74	338.32	338.32		
RTSI	1998-01-21	336.46	336.46	325.34	325.34		
RTSI	1998-01-22	310.08	312.31	307.97	308.8		
RTSI	1998-01-23	310.41	310.41	293.72	294.71		
RTSI	1998-01-26	281.87	281.87	273.66	280.59		
RTSI	1998-01-27	279.7	288.79	278.23	284.39		
RTSI	1998-01-28	282.55	282.55	276.88	276.88		
RTSI	1998-01-29	266.21	267.52	263.42	265.93		
RTSI	1998-01-30	278.66	284.35	272.86	284.35		
RTSI	1998-02-02	295.52	300.61	294.79	300.61		
RTSI	1998-02-03	295.95	295.95	291.31	291.31		
RTSI	1998-02-04	284.3	288.03	284.3	284.8		
RTSI	1998-02-05	288.48	300.33	288.48	299.58		
RTSI	1998-02-06	306.48	306.48	302.52	304.04		
RTSI	1998-02-09	310.71	310.71	306.63	307.71		
RTSI	1998-02-10	303.76	304.79	302.41	302.68		
RTSI	1998-02-11	309.58	313.14	309.58	311.6		
RTSI	1998-02-12	310.67	310.67	302.53	302.53		
RTSI	1998-02-13	300.18	303.1	299.98	302.24		
RTSI	1998-02-16	301.25	304.83	301.25	303.5		
RTSI	1998-02-17	306.46	309.69	306.46	309.65		
RTSI	1998-02-18	308.22	308.22	303.02	303.02		
RTSI	1998-02-19	304.2	306.09	304.2	305.24		
RTSI	1998-02-20	305.49	307.09	304.53	305.81		
RTSI	1998-02-23	309.07	312.4	309.07	311.93		
RTSI	1998-02-24	308.4	308.95	307.13	307.13		
RTSI	1998-02-25	306.94	308.12	306.02	306.74		
RTSI	1998-02-26	312.63	312.63	308.19	309.21		
RTSI	1998-02-27	311.88	311.9	309.28	309.56		
RTSI	1998-03-02	310.32	323.91	310.32	323.91		
RTSI	1998-03-03	325.53	327	321.44	321.44		
RTSI	1998-03-04	323.16	334.18	323.16	334.18		
RTSI	1998-03-05	329.39	330.63	328.12	328.12		
RTSI	1998-03-06	330.29	339.66	330.29	339.66		
RTSI	1998-03-10	337.77	354.56	337.51	354.56		
RTSI	1998-03-11	366.65	367.25	354.89	357.09		
RTSI	1998-03-12	355.63	355.63	350.22	350.31		
RTSI	1998-03-13	346.1	351.72	345.93	350.2		
RTSI	1998-03-16	348.69	349.74	348.09	349.35		
RTSI	1998-03-17	344.85	344.85	330.98	332.15		
RTSI	1998-03-18	324.8	328.09	324.04	325.06		
RTSI	1998-03-19	330.9	331.61	329.47	331.61		
RTSI	1998-03-20	336.56	336.56	334.32	335.78		
RTSI	1998-03-23	323.9	342.85	323.9	342.85		
RTSI	1998-03-24	348.87	348.87	344.75	344.75		
RTSI	1998-03-25	344.38	344.38	340.62	341.89		
RTSI	1998-03-26	341.19	341.19	334.8	335.03		
RTSI	1998-03-27	340.38	341.48	339	341.48		
RTSI	1998-03-30	337.88	337.88	331.26	331.28		
RTSI	1998-03-31	325.94	326.11	324.39	325.5		
RTSI	1998-04-01	322.88	322.88	317.93	321.91		
RTSI	1998-04-02	320.74	323.49	320.74	323.13		
RTSI	1998-04-03	319.51	319.97	312.26	313.48		
RTSI	1998-04-06	316.39	317.36	314.54	316.42		
RTSI	1998-04-07	315.55	317.23	315.55	316.33		
RTSI	1998-04-08	315.2	315.28	311.38	312.52		
RTSI	1998-04-09	312.59	312.59	306.39	306.39		
RTSI	1998-04-10	306.44	308.96	304.13	308.96		
RTSI	1998-04-13	309.98	310.07	309.16	310.07		
RTSI	1998-04-14	307.94	309.79	307.02	308.85		
RTSI	1998-04-15	310.84	314.99	310.84	313.12		
RTSI	1998-04-16	314.05	320.44	314.05	319.83		
RTSI	1998-04-17	318.32	318.71	312.69	312.69		
RTSI	1998-04-20	314.42	314.42	312.84	312.84		
RTSI	1998-04-21	313.5	315.04	313.5	314.26		
RTSI	1998-04-22	319	319	315.52	317.48		
